,mean,width,height,std deviation,type
0,102.82179604496258,120,120,56.33113694571014,1.0
1,163.69919733086087,120,93,63.086576327964444,1.0
2,74.41837092320377,120,65,37.197358329449955,1.0
3,53.111292228499565,120,38,27.545059986558126,1.0
4,99.72119565511379,39,18,42.94641949992978,1.0
5,90.81493691493691,25,13,37.674538362385015,1.0
6,63.89470405199183,120,15,34.2514227990327,1.0
7,87.90885400371204,120,49,39.901846600228744,1.0
8,190.32562656641605,10,38,71.56089240887638,1.0
9,191.12255000706776,42,90,69.56496724068397,1.0
10,43.85366506860301,70,120,18.45251858111127,1.0
11,65.9124521072797,8,29,35.84213791245942,1.0
12,190.36388206962943,40,86,77.610562044078,1.0
13,78.76183678210478,30,120,44.014269336812234,1.0
14,44.27644316657013,120,58,19.35197898384201,1.0
15,64.87593013428358,120,63,33.47101762526448,1.0
16,192.82467557916945,86,37,60.45402657652578,1.0
17,164.5839495499632,120,45,67.65905290014199,1.0
18,118.79737330390364,104,120,58.55590943238193,1.0
19,84.83513420874573,49,110,43.45570978919076,1.0
20,48.829784738572954,111,36,25.089592113740007,1.0
21,73.46573295985061,7,17,32.49346042725438,2.0
22,198.11049044266267,21,112,47.04825902634534,2.0
23,174.21174444382777,68,120,68.80163960623653,2.0
24,166.32883360528166,55,91,54.43537671232251,2.0
25,193.536471545414,34,120,49.981124179312026,2.0
26,186.04035343438497,60,120,48.86123789360665,2.0
27,55.174305555555556,6,8,30.180267247622552,2.0
28,172.73537142241648,45,120,47.3959776724091,2.0
29,182.48100098853527,115,94,59.43501251652044,2.0
30,179.69284982901735,31,120,61.48556689204677,2.0
31,148.44612139175152,45,114,66.01907917791314,2.0
32,64.99534632034633,36,33,30.392822906784787,2.0
33,161.7298411078101,31,39,65.77964164316386,2.0
34,63.2224025974026,24,72,25.919901731002405,2.0
35,111.55999522731979,39,114,47.88704943365476,2.0
36,152.2384209080939,43,79,65.87701639506244,2.0
37,207.6692203838107,120,38,54.896186023081114,2.0
38,193.29858900573242,120,51,60.372319560860895,2.0
39,229.49277188860526,52,99,81.75151075984968,2.0
40,242.3541229824571,23,65,57.28435617212142,2.0
41,205.1604238028598,92,75,74.11156437305522,2.0
42,84.3184460960293,23,120,54.909902737788194,3.0
43,57.48685335939404,59,108,45.524484749286124,3.0
44,49.15092802946461,50,103,38.40393909521594,3.0
45,67.01411651896386,58,105,44.54314234311146,3.0
46,56.48796550847574,58,73,44.46996682110145,3.0
47,,69,105,47.66774707207434,3.0
48,58.43923885975479,76,21,41.19112217785651,3.0
49,81.41268096437109,120,120,55.710932250456054,3.0
50,89.57745782070457,28,36,56.48459084796223,3.0
51,37.727567715527954,120,41,26.29830685065349,3.0
52,57.79608489663531,112,68,34.63174750643627,3.0
53,69.0920481444335,101,19,39.58870807810133,3.0
54,69.71168604366385,46,84,45.97860901584685,3.0
55,90.64897255934089,105,20,51.33316540599047,3.0
56,74.09949282160417,30,14,39.99968634235841,3.0
57,110.70374369189587,23,115,67.29038659477291,3.0
58,70.66124747828734,36,96,44.84637624913004,3.0
59,70.37060643975921,40,94,45.17988760447121,3.0
60,69.95396543206498,38,73,49.89210786250577,3.0
61,69.08642607392608,14,20,41.7276649122201,3.0
62,84.01355348423363,21,32,48.392516210846374,3.0
63,61.4265163726273,20,79,39.45467939639585,
